on x=-27..27,y=-41..4,z=-9..38
on x=-32867..-21792,y=-91055..-69422,z=13537..29431
on x=-80173..-69816,y=-2482..19092,z=-10744..14568
on x=-15315..13451,y=66418..88503,z=-36318..-23133
on x=-5631..17265,y=37477..49457,z=-88776..-55554
on x=-21782..17308,y=32018..61793,z=-70759..-54058
on x=65929..78536,y=-31811..-2221,z=-21791..4851
on x=-67840..-50254,y=-59616..-37344,z=-23757..-11346
on x=-52847..-32017,y=55198..76502,z=-26851..7617
on x=26874..48672,y=41432..49364,z=41041..64977
on x=59596..70395,y=30685..43177,z=20739..42214
on x=-51198..-32042,y=-71864..-45282,z=38895..60809
on x=-77282..-49742,y=-35223..-7856,z=36346..56811
on x=34838..64327,y=-52852..-32377,z=28908..49859
on x=867..27960,y=67036..91789,z=-30716..-1404
on x=-80362..-45000,y=-22012..-9459,z=25789..49575
on x=-33491..-16152,y=-9260..13351,z=-78979..-74732
on x=-85897..-66974,y=-9271..-5122,z=28680..48328
on x=-39592..-11305,y=-54753..-37251,z=-65502..-53484
on x=14593..50755,y=-89332..-60134,z=-11938..2902
on x=-71776..-54983,y=14992..46533,z=-56723..-20301
on x=-29480..-18835,y=64872..80754,z=8786..32701
on x=-9536..10048,y=-21335..-8895,z=66751..86029
on x=41264..74534,y=-40008..-27819,z=-57377..-37980
on x=-27995..-5262,y=-87442..-68743,z=11977..41321
on x=-3353..30805,y=-15214..13086,z=77372..84566
on x=-67845..-47167,y=-63781..-26371,z=-44184..-19375
on x=11458..22716,y=-52757..-40297,z=-74127..-47455
on x=-68163..-56635,y=52940..59001,z=-500..17802
on x=34234..54319,y=13934..43146,z=51375..74990
on x=-36022..-12379,y=-88923..-66297,z=-20544..9899
on x=53817..68431,y=-29131..-6848,z=44110..56075
on x=-6929..12796,y=-74007..-52261,z=-64758..-40820
on x=-34122..3212,y=64194..91223,z=14921..29781
on x=-27336..4797,y=-64323..-28636,z=-70103..-49900
on x=32912..45524,y=-14881..862,z=69273..91017
on x=-23447..-6017,y=65007..84335,z=-47393..-34014
on x=-10239..9279,y=46190..48099,z=60062..69353
on x=-75920..-53228,y=-49378..-29834,z=-50985..-27955
on x=67446..87081,y=15116..19725,z=-49248..-25127
on x=-5274..26902,y=17745..24341,z=59559..79357
on x=-12309..3188,y=-53193..-51521,z=-62556..-45741
on x=1595..28776,y=-28951..-509,z=61199..86690
on x=61329..74557,y=-48090..-18106,z=-27152..-4911
on x=37007..42830,y=8935..14537,z=-77839..-55444
on x=-77958..-49291,y=-47894..-23671,z=28209..45705
on x=46737..64643,y=-42519..-16009,z=-44371..-31308
on x=-80607..-72525,y=-10777..19277,z=28507..41157
on x=66460..87809,y=8278..31413,z=-27852..-3250
on x=-2275..19886,y=68284..73228,z=26428..50452
on x=39928..53286,y=-51452..-26303,z=-73778..-53194
on x=39864..67126,y=51139..52971,z=-41207..-13732
on x=12849..16818,y=-45135..-13519,z=67017..79129
on x=-87576..-57348,y=-26235..-17717,z=3075..22097
on x=63009..89481,y=-1236..20619,z=-40486..-27708
on x=-64161..-33805,y=-27277..-8186,z=47440..69032
on x=-85354..-54416,y=-19752..345,z=-25947..-16323
on x=-43821..-26229,y=8601..36787,z=-79983..-54077
on x=42353..56928,y=43637..62766,z=22391..55048
on x=-79497..-62021,y=23860..30833,z=22740..45440
on x=35788..51990,y=60017..75913,z=-32358..-14937
on x=65259..89359,y=1543..30803,z=-34637..-19846
on x=-22398..7682,y=5997..10038,z=76264..97052
on x=-55447..-24963,y=-58828..-49206,z=-46190..-39205
on x=30258..53874,y=-1482..15647,z=-70451..-43690
on x=-79399..-61842,y=2449..20411,z=-40285..-18740
on x=32196..66742,y=11344..39116,z=-68507..-46666
on x=41920..73469,y=35820..51293,z=33891..51682
on x=-10445..4270,y=-80719..-65450,z=23170..37762
on x=-1049..30797,y=-56686..-40463,z=-77114..-54824
on x=-24084..-11100,y=-27575..-667,z=-91557..-69354
on x=15238..52395,y=17572..34431,z=58649..88422
on x=20491..46547,y=55448..63664,z=30752..47856
on x=34614..47838,y=13905..35911,z=-67980..-46930
on x=458..30619,y=-83862..-60545,z=18213..53779
on x=-10794..19136,y=-82822..-57528,z=30679..46945
on x=25505..45409,y=-14547..9244,z=63986..87365
on x=-7778..3841,y=-74305..-39529,z=40066..72219
on x=-36415..-26417,y=4540..10616,z=70984..89575
on x=-46832..-40325,y=-44653..-22099,z=-79884..-59043
on x=3532..28727,y=64094..78428,z=37866..45449
on x=23374..43772,y=33718..40532,z=65180..82247
on x=-61323..-47106,y=-36382..-23502,z=43321..57967
on x=32417..54562,y=18794..25545,z=-69434..-55278
on x=-23418..8032,y=19350..39787,z=-81474..-61400
on x=-23108..-1279,y=-84140..-65256,z=-18245..16156
on x=-75893..-70645,y=-33849..-20947,z=-27068..1037
on x=-79429..-66280,y=-16472..-2483,z=1525..35145
on x=64621..78365,y=-11545..-4774,z=33441..52473
on x=-77597..-38375,y=25973..29575,z=40682..66619
on x=40517..69312,y=-27000..-17969,z=32755..59987
on x=56809..70867,y=27538..63562,z=15942..24772
on x=10473..19631,y=61310..88060,z=-3995..15718
on x=-78328..-61670,y=-33959..-2458,z=-47431..-12708
on x=-68207..-48236,y=-16102..5074,z=-67296..-51360
on x=69859..83208,y=-21002..-7998,z=4437..33474
on x=-66319..-60463,y=-20149..-656,z=-47626..-43501
on x=60949..84763,y=-7564..17822,z=-40248..-20842
on x=58360..87438,y=1041..11364,z=20354..35547
on x=-80502..-75624,y=3229..23942,z=-5618..12153
on x=25402..48358,y=37439..72562,z=23178..52106
on x=52945..62688,y=-7768..29607,z=-69123..-48108
on x=-13794..17374,y=11475..33454,z=69472..83316
on x=-46132..-29965,y=-29138..6250,z=-83850..-55243
on x=-70794..-47858,y=43422..56177,z=6618..20771
on x=22338..43414,y=53837..67777,z=5187..30678
on x=40203..56136,y=-61487..-49822,z=7103..15267
on x=-41985..-27973,y=47898..80245,z=33796..61486
on x=42148..56965,y=-6113..20526,z=56916..65666
on x=-35544..-26563,y=-77894..-73668,z=-1925..17538
on x=-22193..-2592,y=-65895..-56712,z=-70721..-40009
on x=48600..54434,y=-73215..-52816,z=12831..31615
on x=13092..22892,y=34187..59459,z=44836..62390
on x=-48401..-27476,y=-13798..1791,z=57823..78204
on x=-52791..-33554,y=55854..80508,z=34207..43441
on x=44725..63097,y=-65009..-52966,z=-6979..6328
on x=-76389..-67930,y=12729..31497,z=-28395..-1925
on x=-22048..-1041,y=74032..87905,z=-17473..3807
on x=-66586..-38830,y=-37593..-22886,z=45467..58334
on x=22479..35869,y=-86237..-57269,z=-22530..1932
on x=53558..73061,y=14395..52219,z=27253..54144
on x=763..16254,y=20386..29138,z=-91595..-62288
on x=51128..62679,y=6605..34857,z=51589..61578
on x=72107..91149,y=-31124..-7700,z=7238..33010
on x=40382..50965,y=-52117..-28616,z=-59216..-39785
on x=25220..31132,y=-54054..-28963,z=58687..77576
on x=-13522..15207,y=-54205..-39794,z=55544..68899
on x=-23296..-4138,y=-32341..-18327,z=-87652..-74340
on x=34776..44861,y=-55292..-49260,z=-44742..-27861
on x=-36071..-7602,y=-73931..-53883,z=-36200..-17755
on x=-62204..-51357,y=-54593..-25681,z=-58386..-22981
on x=11629..30000,y=-18671..-715,z=68009..80443
on x=-52316..-30761,y=-67..15374,z=-85004..-58510
on x=35774..56786,y=-38270..-13728,z=41594..73754
on x=11566..35549,y=42776..65835,z=-68732..-55791
on x=5868..30249,y=-82344..-63703,z=-52655..-23660
on x=44436..73836,y=-3152..19318,z=36614..68092
on x=-64177..-29173,y=-7780..23649,z=49127..64808
on x=29991..63976,y=47009..58265,z=37131..56715
on x=74349..81391,y=-15944..12238,z=-20960..-16189
on x=-78430..-62183,y=-15277..-5934,z=-26334..5100
on x=26235..42603,y=-34165..-25619,z=55248..80443
on x=60142..91796,y=11260..31374,z=-14745..-4954
on x=21595..54901,y=27453..53514,z=42466..78262
on x=-41747..-29883,y=43428..54551,z=44311..66606
on x=-4996..25841,y=-6432..10252,z=63827..86245
on x=63250..83581,y=-23636..-5533,z=-4242..25516
on x=-29400..-8627,y=43907..76469,z=-53633..-35875
on x=21014..35446,y=-77816..-69510,z=-27493..-12193
on x=72300..90657,y=-33067..1437,z=-42364..-10300
on x=31315..56407,y=35719..60514,z=-48184..-28603
on x=-78622..-53310,y=-28044..-9555,z=25988..57920
on x=-53188..-30202,y=27760..36674,z=-67681..-52291
on x=14515..46325,y=-82204..-54515,z=-6275..28564
on x=-10430..-6282,y=-92491..-70943,z=-32529..-9917
on x=24580..32556,y=-37959..-8667,z=63677..82563
on x=-5365..16448,y=-73612..-51998,z=45846..64563
on x=32604..57295,y=-55841..-32284,z=-60922..-27131
on x=-83907..-63235,y=-2434..19444,z=2919..28781
on x=6141..22736,y=-9842..16225,z=67240..80832
on x=-68588..-52274,y=-31369..-12013,z=44587..53977
on x=-24011..-414,y=-77182..-65192,z=-42647..-27234
on x=-69113..-50801,y=-23900..-1015,z=38825..67320
on x=-83790..-58025,y=25406..45965,z=-27255..-20614
on x=29072..49889,y=-6659..26160,z=-76310..-61176
on x=23157..32040,y=58964..89890,z=-43202..-18817
on x=50457..77123,y=19147..30638,z=-55945..-28105
off x=33790..60341,y=-67493..-38948,z=32594..52835
off x=18673..47475,y=40198..72601,z=34566..49001
off x=-92185..-78520,y=-5463..10317,z=-17635..-9652
on x=-58473..-45240,y=-4216..19402,z=-73179..-39795
on x=32156..53232,y=-7125..23906,z=52398..69985
on x=21679..37300,y=37845..59956,z=45776..60707
on x=-35892..-16186,y=26210..47608,z=-84643..-53590
on x=-14136..10247,y=-56417..-30712,z=-81774..-59765
off x=-45919..-33536,y=29401..61702,z=44015..75623
off x=-10856..8932,y=22814..43518,z=53789..72086
on x=-9490..3008,y=33867..53651,z=56708..78254
on x=-79126..-44159,y=-10156..19831,z=42606..57135
on x=-2291..27230,y=46121..65322,z=-68887..-32182
on x=-36793..-26926,y=-22443..-10115,z=-89791..-69303
on x=62758..88298,y=-26395..-7793,z=-44276..-20896
on x=34998..47782,y=-13066..-5219,z=-81857..-63723
off x=38763..72764,y=-58974..-40831,z=-42768..-28519
on x=-36202..-8935,y=28002..55251,z=-72709..-51598
off x=-37025..-19730,y=-14545..13617,z=-81936..-56605
off x=-41045..-36290,y=-55839..-43845,z=-65773..-46412
on x=-74686..-52390,y=-43870..-15535,z=-37564..-17304
on x=-59368..-36747,y=-83662..-51058,z=-22113..-5092
on x=55936..76462,y=-42667..-14481,z=1587..10117
off x=-8262..11632,y=57879..94064,z=6232..24309
off x=-71141..-46778,y=10487..40950,z=-56501..-24920
on x=-64541..-49142,y=26144..48015,z=-46615..-24371
on x=52295..72835,y=-24339..5562,z=-33823..-22902
on x=9593..30132,y=-91980..-62607,z=-14215..14654
off x=-88136..-68109,y=12282..25006,z=10117..11747
off x=55878..69378,y=37117..61954,z=-6469..4611
off x=59692..73853,y=-53002..-25003,z=-2489..15790
on x=29990..43752,y=-12700..12323,z=-81948..-55381
on x=-60707..-42003,y=-15605..-7558,z=-67185..-45387
on x=25382..39459,y=61051..75216,z=-31182..-22990
off x=72552..87237,y=30605..36459,z=-17366..8159
on x=18848..34844,y=10191..28351,z=67609..85524
off x=34728..56226,y=-26966..-10526,z=-71580..-56028
off x=30598..45545,y=36961..73657,z=-58606..-25041
off x=-39483..-23511,y=40942..66486,z=-58747..-55126
on x=-30425..-17666,y=63173..81021,z=11180..45473
on x=69149..80047,y=19827..25104,z=-28033..-5258
on x=49974..56769,y=-50304..-30140,z=-50239..-15880
off x=-1341..16177,y=-82828..-71057,z=-33961..-21068
off x=35434..55654,y=-66610..-62776,z=-33516..-5512
on x=64716..82535,y=-14197..3577,z=-25807..-15075
off x=-57791..-38662,y=13126..25748,z=62344..80457
on x=-68033..-62428,y=-60122..-36669,z=-31680..-17196
on x=-17869..-13628,y=-73391..-54672,z=-51838..-45352
on x=-30134..1831,y=28560..50774,z=-80673..-56673
on x=-93967..-67963,y=-4375..28488,z=-19888..4842
on x=-68010..-53505,y=-31217..-14996,z=-43847..-29063
off x=37222..58588,y=-50738..-29660,z=-60468..-47395
off x=-73227..-66493,y=-41833..-18705,z=7232..26177
off x=-46934..-15522,y=-33119..-27120,z=-73167..-62943
on x=-71853..-53814,y=-59435..-48215,z=-16300..10237
on x=-68074..-53610,y=51176..66455,z=-7342..6987
on x=45047..55208,y=-53751..-46484,z=37129..56452
on x=33189..46714,y=-14982..19880,z=66442..85191
on x=2836..29138,y=40730..55301,z=56687..76758
on x=23281..28749,y=-18689..-14489,z=-75842..-55684
off x=-71100..-38282,y=-72446..-55160,z=-24415..7696
on x=-21160..3386,y=-53373..-32969,z=-76462..-50853
off x=-23703..3338,y=-19217..3387,z=60666..89350
off x=36416..46012,y=-21452..-10894,z=51791..84402
off x=20072..35167,y=-80695..-56279,z=-21386..-12851
off x=7771..23363,y=-91711..-79183,z=-11626..12415
on x=1201..26170,y=65394..87763,z=23517..55447
off x=53727..77077,y=-58442..-27733,z=-9542..1036
on x=50597..76263,y=-41863..-30669,z=-50311..-19468
off x=27915..49633,y=-52536..-36297,z=-70325..-48846
off x=611..31705,y=-86810..-62878,z=22696..44077
on x=2499..19157,y=-85304..-56847,z=-43902..-20432
off x=-84228..-56638,y=-39062..-20156,z=-47378..-19364
on x=-49507..-35145,y=-68051..-38278,z=-56133..-19191
off x=-74146..-48030,y=-47118..-36575,z=-39005..-27309
off x=14384..30338,y=20539..35217,z=-85978..-69472
on x=-3628..9419,y=-47398..-26003,z=54251..85858
on x=27640..32202,y=6063..21765,z=-87313..-61135
off x=21474..49685,y=-59624..-35896,z=44480..63596
off x=49590..78077,y=-42968..-27892,z=-18216..-7040
off x=-38469..-13930,y=42308..63580,z=-68429..-58765
off x=-5104..746,y=-14430..5306,z=-91071..-75446
on x=-555..27309,y=58602..87667,z=20887..52792
off x=-49414..-29808,y=48295..61110,z=41585..50963
off x=31450..56360,y=47546..66666,z=34448..38641
off x=3458..16368,y=-85026..-72328,z=-14641..8595
on x=28231..44330,y=-61459..-31658,z=56150..66400
off x=59005..82023,y=20965..42700,z=-25879..-14415
off x=2748..16021,y=54576..78795,z=38011..63023
on x=23254..45454,y=-71590..-47492,z=-52612..-36257
off x=7764..26756,y=57460..95631,z=7275..34069
on x=32495..46281,y=12166..15005,z=50860..75286
off x=16923..32347,y=-23365..-18417,z=64927..81855
off x=59815..69595,y=20557..42893,z=33295..52196
off x=-67336..-46486,y=-52315..-39217,z=-29108..-9675
off x=-32331..-14442,y=-70127..-54844,z=45103..60457
off x=21008..32377,y=33977..55067,z=-71688..-48071
on x=8134..35297,y=-60046..-46743,z=-63149..-39929
off x=-4777..3100,y=-96596..-63000,z=-2923..22953
on x=-75798..-55394,y=-42636..-4966,z=-1701..21734
off x=-45034..-34054,y=34645..53651,z=-61095..-57272
on x=57983..89886,y=-31607..-14031,z=-8317..3339
off x=5286..23122,y=66653..83822,z=16340..42723
on x=50198..79294,y=25360..43351,z=-47426..-22230
on x=-7326..27167,y=64140..76308,z=-50937..-36283
on x=-9940..22590,y=47278..74600,z=-58098..-56029
on x=-90155..-64644,y=-23485..-9758,z=-12178..-8671
off x=-50510..-29930,y=-12403..-2427,z=-80799..-57012
off x=-94915..-75632,y=-17389..4718,z=-7041..9275
on x=-52105..-20169,y=-67244..-60521,z=15495..30203
on x=48497..68504,y=-48058..-30044,z=39203..51929
off x=-75972..-68320,y=10325..47948,z=18425..35355
off x=9506..15898,y=37478..49437,z=47882..69134
off x=2890..39441,y=-53634..-37231,z=-73945..-47229
on x=24470..36041,y=-22265..11068,z=-75230..-53282
on x=-10791..10910,y=61320..85711,z=-26863..-10039
on x=-48423..-30051,y=-32148..-11307,z=53953..84603
on x=-16801..4694,y=-3952..11508,z=72884..80103
off x=-83487..-64476,y=-25070..-3408,z=-49995..-25364
on x=13923..26120,y=-80500..-55182,z=-43111..-27814
on x=-93599..-56674,y=14631..27195,z=-20975..8057
off x=-35603..-14897,y=6338..33194,z=-75954..-66038
on x=60754..79752,y=22575..37741,z=-44754..-26631
on x=3332..23131,y=-68384..-41698,z=36520..59691
on x=-22074..-4650,y=41157..48338,z=-84781..-47826
off x=56068..83516,y=-41142..-19351,z=-31275..-10739
off x=-93601..-70771,y=-14492..7423,z=12953..40461
off x=12540..36038,y=47698..76618,z=-65322..-41289
off x=-26639..-6871,y=-74705..-61707,z=-43265..-32098
off x=-81286..-71895,y=-6677..27441,z=-10998..4860
on x=62094..83385,y=23366..36664,z=11165..28080
on x=55855..64201,y=-41179..-6436,z=-45188..-22011
on x=-63145..-46044,y=-43700..-16899,z=-51501..-42807
off x=-56303..-39170,y=-59602..-42888,z=-61528..-32252
off x=27471..57936,y=-73808..-41616,z=-38907..-11711
off x=-40417..-17249,y=54208..85369,z=-44898..-22282
on x=-1111..29692,y=67566..82033,z=30512..47080
off x=77322..91301,y=-11219..17038,z=-33804..-12049
on x=-31597..-15284,y=-45489..-24098,z=-66973..-51903
on x=-9207..22964,y=42030..67452,z=51694..75881
on x=51174..85587,y=-13118..1544,z=37291..55826
off x=-16241..6927,y=-81136..-52392,z=-41525..-18318
on x=50138..61728,y=35435..61021,z=-33560..-21450
on x=59783..84570,y=-14440..9517,z=29144..41957
on x=-75740..-66891,y=25234..29223,z=-47892..-30975
on x=-57635..-51925,y=-60212..-30485,z=25578..40639
on x=9247..25616,y=-45083..-18897,z=51916..72822
off x=35284..67308,y=26842..57246,z=21565..55395
off x=46211..67560,y=46290..72647,z=22444..27500
off x=-49577..-23771,y=3531..36020,z=63177..80581
off x=6685..27810,y=66139..83340,z=4802..40980
off x=1286..25496,y=-78724..-48546,z=44397..72368
on x=-72846..-56913,y=-35730..-10725,z=-49728..-34148
on x=11849..27343,y=-52308..-33772,z=-84407..-47437
off x=26128..62022,y=11552..21921,z=-66255..-46604
off x=31732..57447,y=17532..31820,z=-62589..-51925
off x=-38524..-28134,y=45697..55317,z=35355..61567
on x=-11008..8300,y=-89778..-68860,z=-9827..14088
on x=-66450..-48963,y=-49888..-38710,z=17273..46243
off x=21474..35097,y=65013..72774,z=12884..38961
off x=33557..52746,y=40175..66296,z=-50937..-29887
on x=-51782..-48622,y=-9125..-4782,z=-76829..-48668
on x=-69826..-43016,y=26899..36452,z=29396..56436
on x=18444..19038,y=65032..72788,z=-45866..-20658
off x=53603..67726,y=22480..36458,z=20785..47364
off x=46967..60591,y=-54739..-51272,z=-9569..14489
off x=-63628..-45803,y=-59751..-37913,z=-44155..-13582
off x=38414..40850,y=-43834..-21615,z=46177..78364
off x=-70513..-66280,y=6908..25982,z=13252..37011
on x=-52050..-26926,y=-54695..-23209,z=50446..75014
off x=-23087..-1321,y=-47197..-31147,z=-89465..-65196
off x=-32483..-4083,y=58037..84122,z=27286..57025
on x=22556..38624,y=-61962..-40837,z=40427..62162
on x=19621..31197,y=-16875..-7611,z=-79654..-74695
on x=-31077..-17975,y=26854..40316,z=54999..81780
on x=57780..81857,y=20130..41082,z=33476..39327
off x=-38394..-21798,y=32282..52539,z=-71234..-53020
off x=11298..26484,y=-16847..-1292,z=-93174..-72046
off x=-53747..-39234,y=-38089..-8368,z=-71291..-63859
off x=24982..44465,y=-59902..-38693,z=-60089..-31824
off x=-24466..-15196,y=23994..45216,z=-80997..-60468
off x=-34837..-14234,y=38668..51730,z=-65399..-47534
off x=-47343..-8999,y=-78494..-60357,z=30001..47093
on x=37362..60527,y=-56461..-30151,z=46774..54848
on x=-247..10665,y=57079..94938,z=20862..40083
off x=-32358..-18403,y=19323..25741,z=-72369..-64078
on x=-82473..-61141,y=-6243..6471,z=-35379..-32780
on x=-56317..-50885,y=-21003..5306,z=46188..70037
on x=-69145..-48420,y=-78306..-49775,z=-14060..151
on x=28882..35593,y=-77571..-61518,z=-30640..-11726
on x=52621..80887,y=-6609..8605,z=-66324..-35836
off x=-85217..-56517,y=-9978..21645,z=40135..51614
off x=-64700..-32123,y=27219..60990,z=35433..46566
off x=-41848..-14030,y=-8633..11873,z=-87333..-56451
off x=8118..32146,y=-68140..-48138,z=-58369..-31568
off x=15334..41582,y=-24478..-10423,z=70212..83649
off x=8784..33750,y=-73399..-67723,z=-55900..-35815
off x=49338..62513,y=-63862..-32722,z=-44062..-23952
